,id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,weekday,dayofyear,day_of_week,month,year,weekofyear,quarter,is_weekend,is_month_start,is_month_end,is_year_start,is_year_end,days_in_month,weekofmonth,is_leap_year
0,1307011,2013-07-01,1,148.828353112183,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,7,2013,27,3,0,1,0,0,0,31,1,0
5,1307021,2013-07-02,1,159.79375714468,3.0,17.3125,10.0,,0.0,1,183,Tuesday,7,2013,27,3,0,0,0,0,0,31,1,0
10,1307031,2013-07-03,1,111.885593514353,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,7,2013,27,3,0,0,0,0,0,31,1,0
15,1307041,2013-07-04,1,168.864940979931,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,7,2013,27,3,0,0,0,0,0,31,1,0
20,1307051,2013-07-05,1,171.280754117955,5.0,19.975,12.0,,0.0,4,186,Friday,7,2013,27,3,0,0,0,0,0,31,1,0
25,1307061,2013-07-06,1,174.552359998476,0.0,18.9625,8.0,,0.0,5,187,Saturday,7,2013,27,3,1,0,0,0,0,31,1,0
30,1307071,2013-07-07,1,92.6377553788373,0.0,21.375,9.0,,0.0,6,188,Sunday,7,2013,27,3,1,0,0,0,0,31,1,0
35,1307081,2013-07-08,1,135.500244042392,0.0,22.725,10.0,5.0,0.0,0,189,Monday,7,2013,28,3,0,0,0,0,0,31,2,0
40,1307091,2013-07-09,1,136.048382778344,0.0,23.275,8.0,,0.0,1,190,Tuesday,7,2013,28,3,0,0,0,0,0,31,2,0
45,1307101,2013-07-10,1,135.132314289581,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,7,2013,28,3,0,0,0,0,0,31,2,0
50,1307111,2013-07-11,1,138.549392636714,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,7,2013,28,3,0,0,0,0,0,31,2,0
55,1307121,2013-07-12,1,101.447511461298,0.0,20.2875,7.0,,0.0,4,193,Friday,7,2013,28,3,0,0,0,0,0,31,2,0
59,1307131,2013-07-13,1,141.233309883732,1.0,20.125,12.0,,0.0,5,194,Saturday,7,2013,28,3,1,0,0,0,0,31,2,0
64,1307141,2013-07-14,1,112.524365708762,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,7,2013,28,3,1,0,0,0,0,31,2,0
69,1307151,2013-07-15,1,161.264677322182,6.0,18.7375,12.0,,0.0,0,196,Monday,7,2013,29,3,0,0,0,0,0,31,3,0
74,1307161,2013-07-16,1,116.821358174215,1.0,21.1875,10.0,,0.0,1,197,Tuesday,7,2013,29,3,0,0,0,0,0,31,3,0
79,1307171,2013-07-17,1,150.572919592838,5.0,22.5125,8.0,,0.0,2,198,Wednesday,7,2013,29,3,0,0,0,0,0,31,3,0
83,1307181,2013-07-18,1,101.90072129658,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,7,2013,29,3,0,0,0,0,0,31,3,0
88,1307191,2013-07-19,1,161.63511518654,3.0,22.475,16.0,5.0,0.0,4,200,Friday,7,2013,29,3,0,0,0,0,0,31,3,0
93,1307201,2013-07-20,1,134.328076682024,0.0,23.1875,8.0,,0.0,5,201,Saturday,7,2013,29,3,1,0,0,0,0,31,3,0
98,1307211,2013-07-21,1,66.2887578161955,0.0,26.375,8.0,,0.0,6,202,Sunday,7,2013,29,3,1,0,0,0,0,31,3,0
103,1307221,2013-07-22,1,131.223948997842,0.0,26.1,9.0,,0.0,0,203,Monday,7,2013,30,3,0,0,0,0,0,31,4,0
108,1307231,2013-07-23,1,110.315246796665,0.0,24.95,12.0,,0.0,1,204,Tuesday,7,2013,30,3,0,0,0,0,0,31,4,0
113,1307241,2013-07-24,1,141.891908195545,3.0,24.075,11.0,,0.0,2,205,Wednesday,7,2013,30,3,0,0,0,0,0,31,4,0
118,1307251,2013-07-25,1,167.701216640907,2.0,23.0875,9.0,,0.0,3,206,Thursday,7,2013,30,3,0,0,0,0,0,31,4,0
123,1307261,2013-07-26,1,147.272084366206,3.0,27.2625,6.0,,0.0,4,207,Friday,7,2013,30,3,0,0,0,0,0,31,4,0
128,1307271,2013-07-27,1,161.403357795112,1.0,26.1625,10.0,,0.0,5,208,Saturday,7,2013,30,3,1,0,0,0,0,31,4,0
132,1307281,2013-07-28,1,86.0791432446654,4.0,24.8875,13.0,61.0,0.0,6,209,Sunday,7,2013,30,3,1,0,0,0,0,31,4,0
136,1307291,2013-07-29,1,183.564164400591,1.0,22.7875,10.0,,0.0,0,210,Monday,7,2013,31,3,0,0,0,0,0,31,5,0
140,1307301,2013-07-30,1,132.111640117897,5.0,21.075,13.0,21.0,0.0,1,211,Tuesday,7,2013,31,3,0,0,0,0,0,31,5,0
144,1307311,2013-07-31,1,144.745431773143,5.0,20.275,16.0,65.0,0.0,2,212,Wednesday,7,2013,31,3,0,0,1,0,0,31,5,0
148,1308011,2013-08-01,1,157.854023011106,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,8,2013,31,3,0,1,0,0,0,31,1,0
153,1308021,2013-08-02,1,117.359342094889,0.0,31.4375,7.0,,0.0,4,214,Friday,8,2013,31,3,0,0,0,0,0,31,1,0
158,1308031,2013-08-03,1,186.027178770079,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,8,2013,31,3,1,0,0,0,0,31,1,0
163,1308041,2013-08-04,1,104.708216687715,3.0,23.05,8.0,,0.0,6,216,Sunday,8,2013,31,3,1,0,0,0,0,31,1,0
168,1308051,2013-08-05,1,146.775309890073,0.0,25.8,10.0,,0.0,0,217,Monday,8,2013,32,3,0,0,0,0,0,31,1,0
172,1308061,2013-08-06,1,131.956277381283,5.0,22.225,13.0,,0.0,1,218,Tuesday,8,2013,32,3,0,0,0,0,0,31,1,0
177,1308071,2013-08-07,1,160.593417296116,4.0,19.2125,8.0,,0.0,2,219,Wednesday,8,2013,32,3,0,0,0,0,0,31,1,0
182,1308081,2013-08-08,1,153.099424561652,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,8,2013,32,3,0,0,0,0,0,31,2,0
187,1308091,2013-08-09,1,125.620344387906,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,8,2013,32,3,0,0,0,0,0,31,2,0
192,1308101,2013-08-10,1,185.177162656408,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,8,2013,32,3,1,0,0,0,0,31,2,0
197,1308111,2013-08-11,1,73.2088330039992,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,8,2013,32,3,1,0,0,0,0,31,2,0
202,1308121,2013-08-12,1,154.504729536697,7.0,16.45,11.0,63.0,0.0,0,224,Monday,8,2013,33,3,0,0,0,0,0,31,2,0
207,1308131,2013-08-13,1,134.064451548102,3.0,16.4,16.0,95.0,0.0,1,225,Tuesday,8,2013,33,3,0,0,0,0,0,31,2,0
212,1308141,2013-08-14,1,156.972510536869,4.0,18.2625,18.0,61.0,0.0,2,226,Wednesday,8,2013,33,3,0,0,0,0,0,31,2,0
217,1308151,2013-08-15,1,164.763795399756,3.0,19.8,8.0,,0.0,3,227,Thursday,8,2013,33,3,0,0,0,0,0,31,3,0
222,1308161,2013-08-16,1,147.79799759804,4.0,23.575,11.0,0.0,0.0,4,228,Friday,8,2013,33,3,0,0,0,0,0,31,3,0
227,1308171,2013-08-17,1,221.630418006017,6.0,20.55,7.0,0.0,0.0,5,229,Saturday,8,2013,33,3,1,0,0,0,0,31,3,0
232,1308181,2013-08-18,1,92.489778506026,7.0,18.5875,10.0,63.0,0.0,6,230,Sunday,8,2013,33,3,1,0,0,0,0,31,3,0
237,1308191,2013-08-19,1,145.87913275728,5.0,18.4875,8.0,,0.0,0,231,Monday,8,2013,34,3,0,0,0,0,0,31,3,0
242,1308201,2013-08-20,1,111.842396126739,7.0,17.775,8.0,61.0,0.0,1,232,Tuesday,8,2013,34,3,0,0,0,0,0,31,3,0
247,1308211,2013-08-21,1,125.336522713024,5.0,20.125,8.0,,0.0,2,233,Wednesday,8,2013,34,3,0,0,0,0,0,31,3,0
