,id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Produktgruppe,Wochentag,Monat,Jahr,Feiertag_Bereich,Feiertag_Bundesland,Feiertag,Veranstaltung_Holstenkoeste,Veranstaltung_Kieler_Umschlag,Veranstaltung_Kieler_Weihnachtsmaerkte,Veranstaltung_Kieler_Woche,Veranstaltung_NOK_Romantika,Veranstaltung_NordArt,Veranstaltung_Seebrueckenfest,Veranstaltung_Sprottentage
0,1307011,2013-07-01,1,148.82835,6.0,17.8375,15.0,20.0,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1,1307021,2013-07-02,1,159.79376,3.0,17.3125,10.0,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
2,1307031,2013-07-03,1,111.8856,7.0,21.075,6.0,61.0,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
3,1307041,2013-07-04,1,168.86494,7.0,18.85,7.0,20.0,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
4,1307051,2013-07-05,1,171.28076,5.0,19.975,12.0,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
5,1307061,2013-07-06,1,174.55235,0.0,18.9625,8.0,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
6,1307071,2013-07-07,1,92.63776,0.0,21.375,9.0,,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
7,1307081,2013-07-08,1,135.50024,0.0,22.725,10.0,5.0,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
8,1307091,2013-07-09,1,136.04839,0.0,23.275,8.0,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
9,1307101,2013-07-10,1,135.13231,2.0,19.6875,13.0,5.0,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
10,1307111,2013-07-11,1,138.5494,0.0,21.375,12.0,5.0,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
11,1307121,2013-07-12,1,101.44751,0.0,20.2875,7.0,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
12,1307131,2013-07-13,1,141.2333,1.0,20.125,12.0,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
13,1307141,2013-07-14,1,112.52437,5.0,17.6875,15.0,5.0,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
14,1307151,2013-07-15,1,161.26468,6.0,18.7375,12.0,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
15,1307161,2013-07-16,1,116.82136,1.0,21.1875,10.0,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
16,1307171,2013-07-17,1,150.57292,5.0,22.5125,8.0,,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
17,1307181,2013-07-18,1,101.90072,1.0,23.25,11.0,5.0,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
18,1307191,2013-07-19,1,161.63512,3.0,22.475,16.0,5.0,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
19,1307201,2013-07-20,1,134.32808,0.0,23.1875,8.0,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
20,1307211,2013-07-21,1,66.28876,0.0,26.375,8.0,,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
21,1307221,2013-07-22,1,131.22395,0.0,26.1,9.0,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
22,1307231,2013-07-23,1,110.31525,0.0,24.95,12.0,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
23,1307241,2013-07-24,1,141.8919,3.0,24.075,11.0,,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
24,1307251,2013-07-25,1,167.70122,2.0,23.0875,9.0,,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
25,1307261,2013-07-26,1,147.27208,3.0,27.2625,6.0,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
26,1307271,2013-07-27,1,161.40335,1.0,26.1625,10.0,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
27,1307281,2013-07-28,1,86.07914,4.0,24.8875,13.0,61.0,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
28,1307291,2013-07-29,1,183.56416,1.0,22.7875,10.0,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
29,1307301,2013-07-30,1,132.11163,5.0,21.075,13.0,21.0,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
30,1307311,2013-07-31,1,144.74544,5.0,20.275,16.0,65.0,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
31,1308011,2013-08-01,1,157.85402,6.0,23.4,7.0,21.0,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
32,1308021,2013-08-02,1,117.359344,0.0,31.4375,7.0,,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
33,1308031,2013-08-03,1,186.02718,4.0,23.3625,11.0,63.0,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
34,1308041,2013-08-04,1,104.70821,3.0,23.05,8.0,,,Brot,Sonntag,8,2013,,,,False,False,False,False,False,False,False,False
35,1308051,2013-08-05,1,146.77531,0.0,25.8,10.0,,,Brot,Montag,8,2013,,,,False,False,False,False,False,False,False,False
36,1308061,2013-08-06,1,131.95628,5.0,22.225,13.0,,,Brot,Dienstag,8,2013,,,,False,False,False,False,False,False,False,False
37,1308071,2013-08-07,1,160.59341,4.0,19.2125,8.0,,,Brot,Mittwoch,8,2013,,,,False,False,False,False,False,False,False,False
38,1308081,2013-08-08,1,153.09943,7.0,16.975,12.0,20.0,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
39,1308091,2013-08-09,1,125.620346,4.0,20.3375,10.0,21.0,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
40,1308101,2013-08-10,1,185.17717,7.0,19.3625,12.0,61.0,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
41,1308111,2013-08-11,1,73.20883,7.0,16.3875,9.0,61.0,,Brot,Sonntag,8,2013,,,,False,False,False,False,False,False,False,False
42,1308121,2013-08-12,1,154.50473,7.0,16.45,11.0,63.0,,Brot,Montag,8,2013,,,,False,False,False,False,False,False,False,False
43,1308131,2013-08-13,1,134.06445,3.0,16.4,16.0,95.0,,Brot,Dienstag,8,2013,,,,False,False,False,False,False,False,False,False
44,1308141,2013-08-14,1,156.9725,4.0,18.2625,18.0,61.0,,Brot,Mittwoch,8,2013,,,,False,False,False,False,False,False,False,False
45,1308151,2013-08-15,1,164.7638,3.0,19.8,8.0,,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
46,1308161,2013-08-16,1,147.798,4.0,23.575,11.0,0.0,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
47,1308171,2013-08-17,1,221.63042,6.0,20.55,7.0,0.0,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
