,id,Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Produktgruppe,Wochentag,Feiertag_Bereich,Feiertag_Bundesland,Feiertag,Veranstaltung_Holstenkoeste,Veranstaltung_Kieler_Umschlag,Veranstaltung_Kieler_Weihnachtsmaerkte,Veranstaltung_Kieler_Woche,Veranstaltung_NOK_Romantika,Veranstaltung_NordArt,Veranstaltung_Seebrueckenfest,Veranstaltung_Sprottentage,Feiertag_Bereich_enc_0,Feiertag_Bereich_enc_1,Feiertag_Bundesland_enc_0,Feiertag_Bundesland_enc_1,Feiertag_enc_1.0,Feiertag_enc_2.0,Feiertag_enc_3.0,Feiertag_enc_4.0,Feiertag_enc_5.0,Wochentag_enc_1,Wochentag_enc_2,Wochentag_enc_3,Wochentag_enc_4,Wochentag_enc_5,Wochentag_enc_6,Wochentag_enc_7,Monat_1,Monat_2,Monat_3,Monat_4,Monat_5,Monat_6,Monat_7,Monat_8,Monat_9,Monat_10,Monat_11,Monat_12,Jahr_2013,Jahr_2014,Jahr_2015,Jahr_2016,Jahr_2017,Jahr_2018,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,Monat,Saison,Saison_enc_1,Saison_enc_2,Saison_enc_3,Saison_enc_4,Produktgruppe_enc
0,1307011,2013-07-01,148.82835,6.0,17.8375,15.0,20.0,,Brot,Montag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
1,1307021,2013-07-02,159.79376,3.0,17.3125,10.0,,,Brot,Dienstag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
2,1307031,2013-07-03,111.8856,7.0,21.075,6.0,61.0,,Brot,Mittwoch,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
3,1307041,2013-07-04,168.86494,7.0,18.85,7.0,20.0,,Brot,Donnerstag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
4,1307051,2013-07-05,171.28076,5.0,19.975,12.0,,,Brot,Freitag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
5,1307061,2013-07-06,174.55235,0.0,18.9625,8.0,,,Brot,Samstag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
6,1307071,2013-07-07,92.63776,0.0,21.375,9.0,,,Brot,Sonntag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
7,1307081,2013-07-08,135.50024,0.0,22.725,10.0,5.0,,Brot,Montag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
8,1307091,2013-07-09,136.04839,0.0,23.275,8.0,,,Brot,Dienstag,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
9,1307101,2013-07-10,135.13231,2.0,19.6875,13.0,5.0,,Brot,Mittwoch,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,7,summer,False,False,True,False,1
