id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Produktgruppe,Wochentag,Monat,Jahr,Feiertag_Bereich,Feiertag_Bundesland,Feiertag,Veranstaltung_Holstenkoeste,Veranstaltung_Kieler_Umschlag,Veranstaltung_Kieler_Weihnachtsmaerkte,Veranstaltung_Kieler_Woche,Veranstaltung_NOK_Romantika,Veranstaltung_NordArt,Veranstaltung_Seebrueckenfest,Veranstaltung_Sprottentage
1307011,2013-07-01,1,148.82835,6,17.8375,15,20,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1307021,2013-07-02,1,159.79376,3,17.3125,10,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
1307031,2013-07-03,1,111.8856,7,21.075,6,61,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
1307041,2013-07-04,1,168.86494,7,18.85,7,20,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
1307051,2013-07-05,1,171.28076,5,19.975,12,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
1307061,2013-07-06,1,174.55235,0,18.9625,8,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
1307071,2013-07-07,1,92.63776,0,21.375,9,,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
1307081,2013-07-08,1,135.50024,0,22.725,10,5,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1307091,2013-07-09,1,136.04839,0,23.275,8,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
1307101,2013-07-10,1,135.13231,2,19.6875,13,5,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
1307111,2013-07-11,1,138.5494,0,21.375,12,5,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
1307121,2013-07-12,1,101.44751,0,20.2875,7,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
1307131,2013-07-13,1,141.2333,1,20.125,12,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
1307141,2013-07-14,1,112.52437,5,17.6875,15,5,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
1307151,2013-07-15,1,161.26468,6,18.7375,12,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1307161,2013-07-16,1,116.82136,1,21.1875,10,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
1307171,2013-07-17,1,150.57292,5,22.5125,8,,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
1307181,2013-07-18,1,101.90072,1,23.25,11,5,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
1307191,2013-07-19,1,161.63512,3,22.475,16,5,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
1307201,2013-07-20,1,134.32808,0,23.1875,8,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
1307211,2013-07-21,1,66.28876,0,26.375,8,,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
1307221,2013-07-22,1,131.22395,0,26.1,9,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1307231,2013-07-23,1,110.31525,0,24.95,12,,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
1307241,2013-07-24,1,141.8919,3,24.075,11,,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
1307251,2013-07-25,1,167.70122,2,23.0875,9,,,Brot,Donnerstag,7,2013,,,,False,False,False,False,False,False,False,False
1307261,2013-07-26,1,147.27208,3,27.2625,6,,,Brot,Freitag,7,2013,,,,False,False,False,False,False,False,False,False
1307271,2013-07-27,1,161.40335,1,26.1625,10,,,Brot,Samstag,7,2013,,,,False,False,False,False,False,False,False,False
1307281,2013-07-28,1,86.07914,4,24.8875,13,61,,Brot,Sonntag,7,2013,,,,False,False,False,False,False,False,False,False
1307291,2013-07-29,1,183.56416,1,22.7875,10,,,Brot,Montag,7,2013,,,,False,False,False,False,False,False,False,False
1307301,2013-07-30,1,132.11163,5,21.075,13,21,,Brot,Dienstag,7,2013,,,,False,False,False,False,False,False,False,False
1307311,2013-07-31,1,144.74544,5,20.275,16,65,,Brot,Mittwoch,7,2013,,,,False,False,False,False,False,False,False,False
1308011,2013-08-01,1,157.85402,6,23.4,7,21,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
1308021,2013-08-02,1,117.359344,0,31.4375,7,,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
1308031,2013-08-03,1,186.02718,4,23.3625,11,63,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
1308041,2013-08-04,1,104.70821,3,23.05,8,,,Brot,Sonntag,8,2013,,,,False,False,False,False,False,False,False,False
1308051,2013-08-05,1,146.77531,0,25.8,10,,,Brot,Montag,8,2013,,,,False,False,False,False,False,False,False,False
1308061,2013-08-06,1,131.95628,5,22.225,13,,,Brot,Dienstag,8,2013,,,,False,False,False,False,False,False,False,False
1308071,2013-08-07,1,160.59341,4,19.2125,8,,,Brot,Mittwoch,8,2013,,,,False,False,False,False,False,False,False,False
1308081,2013-08-08,1,153.09943,7,16.975,12,20,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
1308091,2013-08-09,1,125.620346,4,20.3375,10,21,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
1308101,2013-08-10,1,185.17717,7,19.3625,12,61,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
1308111,2013-08-11,1,73.20883,7,16.3875,9,61,,Brot,Sonntag,8,2013,,,,False,False,False,False,False,False,False,False
1308121,2013-08-12,1,154.50473,7,16.45,11,63,,Brot,Montag,8,2013,,,,False,False,False,False,False,False,False,False
1308131,2013-08-13,1,134.06445,3,16.4,16,95,,Brot,Dienstag,8,2013,,,,False,False,False,False,False,False,False,False
1308141,2013-08-14,1,156.9725,4,18.2625,18,61,,Brot,Mittwoch,8,2013,,,,False,False,False,False,False,False,False,False
1308151,2013-08-15,1,164.7638,3,19.8,8,,,Brot,Donnerstag,8,2013,,,,False,False,False,False,False,False,False,False
1308161,2013-08-16,1,147.798,4,23.575,11,0,,Brot,Freitag,8,2013,,,,False,False,False,False,False,False,False,False
1308171,2013-08-17,1,221.63042,6,20.55,7,0,,Brot,Samstag,8,2013,,,,False,False,False,False,False,False,False,False
