,Unnamed: 0,Datum,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz
0,0.0,2012-06-16,1.0,,,,,,,
1,1.0,2012-06-17,1.0,,,,,,,
2,2.0,2012-06-18,1.0,,,,,,,
3,3.0,2012-06-19,1.0,,,,,,,
4,4.0,2012-06-20,1.0,,,,,,,
5,5.0,2012-06-21,1.0,,,,,,,
6,6.0,2012-06-22,1.0,,,,,,,
7,7.0,2012-06-23,1.0,,,,,,,
8,8.0,2012-06-24,1.0,,,,,,,
9,9.0,2013-06-22,1.0,,,,,,,
10,10.0,2013-06-23,1.0,,,,,,,
11,11.0,2013-06-24,1.0,,,,,,,
12,12.0,2013-06-25,1.0,,,,,,,
13,13.0,2013-06-26,1.0,,,,,,,
14,14.0,2013-06-27,1.0,,,,,,,
15,15.0,2013-06-28,1.0,,,,,,,
16,16.0,2013-06-29,1.0,,,,,,,
17,17.0,2013-06-30,1.0,,,,,,,
18,18.0,2014-06-21,1.0,,,,,,,
19,19.0,2014-06-22,1.0,,,,,,,
20,20.0,2014-06-23,1.0,,,,,,,
21,21.0,2014-06-24,1.0,,,,,,,
22,22.0,2014-06-25,1.0,,,,,,,
23,23.0,2014-06-26,1.0,,,,,,,
24,24.0,2014-06-27,1.0,,,,,,,
25,25.0,2014-06-28,1.0,,,,,,,
26,26.0,2014-06-29,1.0,,,,,,,
27,27.0,2015-06-20,1.0,,,,,,,
28,28.0,2015-06-21,1.0,,,,,,,
29,29.0,2015-06-22,1.0,,,,,,,
30,30.0,2015-06-23,1.0,,,,,,,
31,31.0,2015-06-24,1.0,,,,,,,
32,32.0,2015-06-25,1.0,,,,,,,
33,33.0,2015-06-26,1.0,,,,,,,
34,34.0,2015-06-27,1.0,,,,,,,
35,35.0,2015-06-28,1.0,,,,,,,
36,36.0,2016-06-18,1.0,,,,,,,
37,37.0,2016-06-19,1.0,,,,,,,
38,38.0,2016-06-20,1.0,,,,,,,
39,39.0,2016-06-21,1.0,,,,,,,
40,40.0,2016-06-22,1.0,,,,,,,
41,41.0,2016-06-23,1.0,,,,,,,
42,42.0,2016-06-24,1.0,,,,,,,
43,43.0,2016-06-25,1.0,,,,,,,
44,44.0,2016-06-26,1.0,,,,,,,
45,45.0,2017-06-17,1.0,,,,,,,
46,46.0,2017-06-18,1.0,,,,,,,
47,47.0,2017-06-19,1.0,,,,,,,
48,48.0,2017-06-20,1.0,,,,,,,
49,49.0,2017-06-21,1.0,,,,,,,
50,50.0,2017-06-22,1.0,,,,,,,
51,51.0,2017-06-23,1.0,,,,,,,
52,52.0,2017-06-24,1.0,,,,,,,
53,53.0,2017-06-25,1.0,,,,,,,
54,54.0,2018-06-16,1.0,,,,,,,
55,55.0,2018-06-17,1.0,,,,,,,
56,56.0,2018-06-18,1.0,,,,,,,
57,57.0,2018-06-19,1.0,,,,,,,
58,58.0,2018-06-20,1.0,,,,,,,
59,59.0,2018-06-21,1.0,,,,,,,
60,60.0,2018-06-22,1.0,,,,,,,
61,61.0,2018-06-23,1.0,,,,,,,
62,62.0,2018-06-24,1.0,,,,,,,
63,63.0,2019-06-22,1.0,,,,,,,
64,64.0,2019-06-23,1.0,,,,,,,
65,65.0,2019-06-24,1.0,,,,,,,
66,66.0,2019-06-25,1.0,,,,,,,
67,67.0,2019-06-26,1.0,,,,,,,
68,68.0,2019-06-27,1.0,,,,,,,
69,69.0,2019-06-28,1.0,,,,,,,
70,70.0,2019-06-29,1.0,,,,,,,
71,71.0,2019-06-30,1.0,,,,,,,
72,72.0,2012-01-01,,8.0,9.825,14.0,58.0,,,
73,73.0,2012-01-02,,7.0,7.4375,12.0,,,,
74,74.0,2012-01-03,,8.0,5.5375,18.0,63.0,,,
75,75.0,2012-01-04,,4.0,5.6875,19.0,80.0,,,
76,76.0,2012-01-05,,6.0,5.3,23.0,80.0,,,
77,77.0,2012-01-06,,3.0,2.625,10.0,,,,
78,78.0,2012-01-07,,7.0,6.528571,14.0,61.0,,,
79,79.0,2012-01-08,,7.0,5.9625,10.0,80.0,,,
80,80.0,2012-01-09,,8.0,5.15,12.0,61.0,,,
81,81.0,2012-01-10,,6.0,6.1125,10.0,,,,
82,82.0,2012-01-11,,6.0,7.8625,16.0,51.0,,,
83,83.0,2012-01-12,,7.0,7.4375,25.0,61.0,,,
84,84.0,2012-01-13,,2.0,4.8,18.0,,,,
85,85.0,2012-01-14,,3.0,2.8875,10.0,,,,
86,86.0,2012-01-15,,1.0,2.225,6.0,,,,
87,87.0,2012-01-16,,8.0,3.0625,6.0,61.0,,,
88,88.0,2012-01-17,,6.0,4.4875,10.0,,,,
89,89.0,2012-01-18,,7.0,2.35,12.0,51.0,,,
90,90.0,2012-01-19,,8.0,5.2625,16.0,80.0,,,
91,91.0,2012-01-20,,6.0,3.4375,12.0,26.0,,,
92,92.0,2012-01-21,,7.0,3.5375,16.0,68.0,,,
93,93.0,2012-01-22,,6.0,3.7875,12.0,21.0,,,
94,94.0,2012-01-23,,5.0,2.2125,4.0,10.0,,,
95,95.0,2012-01-24,,3.0,1.7625,6.0,,,,
96,96.0,2012-01-25,,3.0,-0.1875,8.0,,,,
97,97.0,2012-01-26,,2.0,0.3625,12.0,,,,
98,98.0,2012-01-27,,8.0,-1.0,10.0,71.0,,,
99,99.0,2012-01-28,,6.0,-1.3875,10.0,10.0,,,
100,100.0,2012-01-29,,7.0,-3.1625,8.0,71.0,,,
101,101.0,2012-01-30,,3.0,-2.275,12.0,,,,
102,102.0,2012-01-31,,1.0,-2.375,18.0,,,,
103,103.0,2012-02-01,,7.0,-1.825,16.0,71.0,,,
104,104.0,2012-02-02,,6.0,-5.85,8.0,85.0,,,
105,105.0,2012-02-03,,4.0,-5.85,14.0,3.0,,,
106,106.0,2012-02-04,,4.0,-7.5375,10.0,71.0,,,
107,107.0,2012-02-05,,5.0,-7.7125,8.0,,,,
108,108.0,2012-02-06,,4.0,-10.25,6.0,10.0,,,
109,109.0,2012-02-07,,6.0,-3.0,18.0,71.0,,,
110,110.0,2012-02-08,,6.0,-2.7625,10.0,,,,
111,111.0,2012-02-09,,6.0,-1.6625,21.0,3.0,,,
112,112.0,2012-02-10,,6.0,-2.8125,8.0,71.0,,,
113,113.0,2012-02-11,,7.0,-4.575,8.0,78.0,,,
114,114.0,2012-02-12,,8.0,-1.2375,16.0,72.0,,,
115,115.0,2012-02-13,,6.0,-2.325,8.0,10.0,,,
116,116.0,2012-02-14,,8.0,1.3,10.0,47.0,,,
117,117.0,2012-02-15,,1.0,4.8625,18.0,,,,
118,118.0,2012-02-16,,7.0,2.9625,10.0,61.0,,,
119,119.0,2012-02-17,,5.0,5.5625,14.0,,,,
120,120.0,2012-02-18,,8.0,6.175,14.0,61.0,,,
121,121.0,2012-02-19,,4.0,4.2,18.0,25.0,,,
122,122.0,2012-02-20,,5.0,4.1125,14.0,,,,
123,123.0,2012-02-21,,8.0,4.95,14.0,58.0,,,
124,124.0,2012-02-22,,7.0,7.175,18.0,51.0,,,
125,125.0,2012-02-23,,6.0,8.4125,18.0,,,,
126,126.0,2012-02-24,,7.0,8.35,19.0,20.0,,,
127,127.0,2012-02-25,,6.0,6.525,19.0,61.0,,,
128,128.0,2012-02-26,,1.0,4.675,8.0,,,,
129,129.0,2012-02-27,,8.0,3.725,12.0,61.0,,,
130,130.0,2012-02-28,,8.0,7.675,14.0,51.0,,,
131,131.0,2012-02-29,,8.0,7.775,10.0,47.0,,,
132,132.0,2012-03-01,,6.0,7.625,12.0,43.0,,,
133,133.0,2012-03-02,,7.0,5.9125,6.0,28.0,,,
134,134.0,2012-03-03,,5.0,7.0375,14.0,,,,
135,135.0,2012-03-04,,7.0,4.675,8.0,,,,
136,136.0,2012-03-05,,7.0,4.875,10.0,,,,
137,137.0,2012-03-06,,4.0,4.5125,10.0,,,,
138,138.0,2012-03-07,,7.0,4.05,10.0,61.0,,,
139,139.0,2012-03-08,,2.0,7.5125,14.0,,,,
140,140.0,2012-03-09,,8.0,7.825,14.0,10.0,,,
141,141.0,2012-03-10,,6.0,8.7,19.0,10.0,,,
142,142.0,2012-03-11,,6.0,8.95,14.0,,,,
143,143.0,2012-03-12,,5.0,9.0125,18.0,,,,
144,144.0,2012-03-13,,6.0,9.95,16.0,1.0,,,
145,145.0,2012-03-14,,7.0,7.7875,10.0,,,,
146,146.0,2012-03-15,,6.0,7.4,8.0,,,,
147,147.0,2012-03-16,,3.0,12.0375,14.0,10.0,,,
148,148.0,2012-03-17,,6.0,9.775,14.0,10.0,,,
149,149.0,2012-03-18,,7.0,9.8375,16.0,61.0,,,
150,150.0,2012-03-19,,4.0,8.1125,18.0,,,,
151,151.0,2012-03-20,,7.0,8.0875,18.0,51.0,,,
152,152.0,2012-03-21,,5.0,12.625,16.0,,,,
153,153.0,2012-03-22,,0.0,12.7625,6.0,2.0,,,
154,154.0,2012-03-23,,0.0,13.4875,6.0,,,,
155,155.0,2012-03-24,,5.0,7.8375,8.0,10.0,,,
156,156.0,2012-03-25,,0.0,13.1375,10.0,1.0,,,
157,157.0,2012-03-26,,7.0,8.4875,8.0,51.0,,,
158,158.0,2012-03-27,,4.0,15.5,10.0,,,,
159,159.0,2012-03-28,,3.0,14.8375,18.0,5.0,,,
160,160.0,2012-03-29,,6.0,8.9875,19.0,21.0,,,
161,161.0,2012-03-30,,3.0,9.9625,18.0,1.0,,,
162,162.0,2012-03-31,,4.0,6.1125,19.0,61.0,,,
163,163.0,2012-04-01,,7.0,6.525,19.0,25.0,,,
164,164.0,2012-04-02,,7.0,5.5875,16.0,,,,
165,165.0,2012-04-03,,7.0,3.3,10.0,22.0,,,
166,166.0,2012-04-04,,7.0,4.5875,18.0,21.0,,,
167,167.0,2012-04-05,,1.0,5.6375,10.0,,,,
168,168.0,2012-04-06,,7.0,6.2,18.0,61.0,,,
169,169.0,2012-04-07,,4.0,3.7125,19.0,,,,
170,170.0,2012-04-08,,2.0,5.75,10.0,,,,
171,171.0,2012-04-09,,8.0,6.5125,10.0,58.0,,,
172,172.0,2012-04-10,,8.0,10.5875,10.0,61.0,,,
173,173.0,2012-04-11,,7.0,10.475,12.0,,,,
174,174.0,2012-04-12,,6.0,9.575,12.0,81.0,,,
175,175.0,2012-04-13,,7.0,8.725,10.0,,,,
176,176.0,2012-04-14,,6.0,8.8125,8.0,25.0,,,
177,177.0,2012-04-15,,7.0,8.075,10.0,21.0,,,
178,178.0,2012-04-16,,4.0,7.5,16.0,80.0,,,
179,179.0,2012-04-17,,5.0,8.0375,12.0,,,,
180,180.0,2012-04-18,,6.0,9.6125,10.0,,,,
