,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Umsatz,KielerWoche,weekday,dayofyear,day_of_week,Product_type,Year,Date,Warengruppe_1.0,Warengruppe_2.0,Warengruppe_3.0,Warengruppe_4.0,Warengruppe_5.0,Warengruppe_6.0,day_of_week_enc_1.0,day_of_week_enc_2.0,day_of_week_enc_3.0,day_of_week_enc_4.0,day_of_week_enc_5.0,day_of_week_enc_6.0,day_of_week_enc_7.0,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Produktgruppe_enc
0,2013-07-01,6.0,17.8375,15.0,20.0,1307011.0,148.828353112183,0.0,0.0,182.0,Monday,Bread,2013.0,2013-07-01,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
5,2013-07-02,3.0,17.3125,10.0,,1307021.0,159.79375714468,0.0,1.0,183.0,Tuesday,Bread,2013.0,2013-07-02,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
10,2013-07-03,7.0,21.075,6.0,61.0,1307031.0,111.885593514353,0.0,2.0,184.0,Wednesday,Bread,2013.0,2013-07-03,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
15,2013-07-04,7.0,18.85,7.0,20.0,1307041.0,168.864940979931,0.0,3.0,185.0,Thursday,Bread,2013.0,2013-07-04,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
20,2013-07-05,5.0,19.975,12.0,,1307051.0,171.280754117955,0.0,4.0,186.0,Friday,Bread,2013.0,2013-07-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
25,2013-07-06,0.0,18.9625,8.0,,1307061.0,174.552359998476,0.0,5.0,187.0,Saturday,Bread,2013.0,2013-07-06,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
30,2013-07-07,0.0,21.375,9.0,,1307071.0,92.6377553788373,0.0,6.0,188.0,Sunday,Bread,2013.0,2013-07-07,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0
35,2013-07-08,0.0,22.725,10.0,5.0,1307081.0,135.500244042392,0.0,0.0,189.0,Monday,Bread,2013.0,2013-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
40,2013-07-09,0.0,23.275,8.0,,1307091.0,136.048382778344,0.0,1.0,190.0,Tuesday,Bread,2013.0,2013-07-09,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
45,2013-07-10,2.0,19.6875,13.0,5.0,1307101.0,135.132314289581,0.0,2.0,191.0,Wednesday,Bread,2013.0,2013-07-10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
50,2013-07-11,0.0,21.375,12.0,5.0,1307111.0,138.549392636714,0.0,3.0,192.0,Thursday,Bread,2013.0,2013-07-11,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
55,2013-07-12,0.0,20.2875,7.0,,1307121.0,101.447511461298,0.0,4.0,193.0,Friday,Bread,2013.0,2013-07-12,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
59,2013-07-13,1.0,20.125,12.0,,1307131.0,141.233309883732,0.0,5.0,194.0,Saturday,Bread,2013.0,2013-07-13,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
64,2013-07-14,5.0,17.6875,15.0,5.0,1307141.0,112.524365708762,0.0,6.0,195.0,Sunday,Bread,2013.0,2013-07-14,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0
69,2013-07-15,6.0,18.7375,12.0,,1307151.0,161.264677322182,0.0,0.0,196.0,Monday,Bread,2013.0,2013-07-15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
74,2013-07-16,1.0,21.1875,10.0,,1307161.0,116.821358174215,0.0,1.0,197.0,Tuesday,Bread,2013.0,2013-07-16,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
79,2013-07-17,5.0,22.5125,8.0,,1307171.0,150.572919592838,0.0,2.0,198.0,Wednesday,Bread,2013.0,2013-07-17,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
83,2013-07-18,1.0,23.25,11.0,5.0,1307181.0,101.90072129658,0.0,3.0,199.0,Thursday,Bread,2013.0,2013-07-18,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
88,2013-07-19,3.0,22.475,16.0,5.0,1307191.0,161.63511518654,0.0,4.0,200.0,Friday,Bread,2013.0,2013-07-19,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
93,2013-07-20,0.0,23.1875,8.0,,1307201.0,134.328076682024,0.0,5.0,201.0,Saturday,Bread,2013.0,2013-07-20,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
98,2013-07-21,0.0,26.375,8.0,,1307211.0,66.2887578161955,0.0,6.0,202.0,Sunday,Bread,2013.0,2013-07-21,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0
103,2013-07-22,0.0,26.1,9.0,,1307221.0,131.223948997842,0.0,0.0,203.0,Monday,Bread,2013.0,2013-07-22,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
108,2013-07-23,0.0,24.95,12.0,,1307231.0,110.315246796665,0.0,1.0,204.0,Tuesday,Bread,2013.0,2013-07-23,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
113,2013-07-24,3.0,24.075,11.0,,1307241.0,141.891908195545,0.0,2.0,205.0,Wednesday,Bread,2013.0,2013-07-24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
118,2013-07-25,2.0,23.0875,9.0,,1307251.0,167.701216640907,0.0,3.0,206.0,Thursday,Bread,2013.0,2013-07-25,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
123,2013-07-26,3.0,27.2625,6.0,,1307261.0,147.272084366206,0.0,4.0,207.0,Friday,Bread,2013.0,2013-07-26,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
