,Unnamed: 0,Datum,KielerWoche,id,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
0,0,2012-06-16,1.0,,,,,,,
1,1,2012-06-17,1.0,,,,,,,
2,2,2012-06-18,1.0,,,,,,,
3,3,2012-06-19,1.0,,,,,,,
4,4,2012-06-20,1.0,,,,,,,
5,5,2012-06-21,1.0,,,,,,,
6,6,2012-06-22,1.0,,,,,,,
7,7,2012-06-23,1.0,,,,,,,
8,8,2012-06-24,1.0,,,,,,,
9,9,2013-06-22,1.0,,,,,,,
10,10,2013-06-23,1.0,,,,,,,
11,11,2013-06-24,1.0,,,,,,,
12,12,2013-06-25,1.0,,,,,,,
13,13,2013-06-26,1.0,,,,,,,
14,14,2013-06-27,1.0,,,,,,,
15,15,2013-06-28,1.0,,,,,,,
16,16,2013-06-29,1.0,,,,,,,
17,17,2013-06-30,1.0,,,,,,,
18,18,2014-06-21,1.0,,,,,,,
19,19,2014-06-22,1.0,,,,,,,
20,20,2014-06-23,1.0,,,,,,,
21,21,2014-06-24,1.0,,,,,,,
22,22,2014-06-25,1.0,,,,,,,
23,23,2014-06-26,1.0,,,,,,,
24,24,2014-06-27,1.0,,,,,,,
25,25,2014-06-28,1.0,,,,,,,
26,26,2014-06-29,1.0,,,,,,,
27,27,2015-06-20,1.0,,,,,,,
28,28,2015-06-21,1.0,,,,,,,
29,29,2015-06-22,1.0,,,,,,,
30,30,2015-06-23,1.0,,,,,,,
31,31,2015-06-24,1.0,,,,,,,
32,32,2015-06-25,1.0,,,,,,,
33,33,2015-06-26,1.0,,,,,,,
34,34,2015-06-27,1.0,,,,,,,
35,35,2015-06-28,1.0,,,,,,,
36,36,2016-06-18,1.0,,,,,,,
37,37,2016-06-19,1.0,,,,,,,
38,38,2016-06-20,1.0,,,,,,,
39,39,2016-06-21,1.0,,,,,,,
40,40,2016-06-22,1.0,,,,,,,
41,41,2016-06-23,1.0,,,,,,,
42,42,2016-06-24,1.0,,,,,,,
43,43,2016-06-25,1.0,,,,,,,
44,44,2016-06-26,1.0,,,,,,,
45,45,2017-06-17,1.0,,,,,,,
46,46,2017-06-18,1.0,,,,,,,
47,47,2017-06-19,1.0,,,,,,,
48,48,2017-06-20,1.0,,,,,,,
49,49,2017-06-21,1.0,,,,,,,
50,50,2017-06-22,1.0,,,,,,,
51,51,2017-06-23,1.0,,,,,,,
52,52,2017-06-24,1.0,,,,,,,
53,53,2017-06-25,1.0,,,,,,,
54,54,2018-06-16,1.0,,,,,,,
55,55,2018-06-17,1.0,,,,,,,
56,56,2018-06-18,1.0,,,,,,,
57,57,2018-06-19,1.0,,,,,,,
58,58,2018-06-20,1.0,,,,,,,
59,59,2018-06-21,1.0,,,,,,,
60,60,2018-06-22,1.0,,,,,,,
61,61,2018-06-23,1.0,,,,,,,
62,62,2018-06-24,1.0,,,,,,,
63,63,2019-06-22,1.0,,,,,,,
64,64,2019-06-23,1.0,,,,,,,
65,65,2019-06-24,1.0,,,,,,,
66,66,2019-06-25,1.0,,,,,,,
67,67,2019-06-26,1.0,,,,,,,
68,68,2019-06-27,1.0,,,,,,,
69,69,2019-06-28,1.0,,,,,,,
70,70,2019-06-29,1.0,,,,,,,
71,71,2019-06-30,1.0,,,,,,,
72,0,2013-07-01,,1307011.0,1.0,148.828353112183,,,,
73,1,2013-07-02,,1307021.0,1.0,159.79375714468,,,,
74,2,2013-07-03,,1307031.0,1.0,111.885593514353,,,,
75,3,2013-07-04,,1307041.0,1.0,168.864940979931,,,,
76,4,2013-07-05,,1307051.0,1.0,171.280754117955,,,,
77,5,2013-07-06,,1307061.0,1.0,174.552359998476,,,,
78,6,2013-07-07,,1307071.0,1.0,92.6377553788373,,,,
79,7,2013-07-08,,1307081.0,1.0,135.500244042392,,,,
80,8,2013-07-09,,1307091.0,1.0,136.048382778344,,,,
81,9,2013-07-10,,1307101.0,1.0,135.132314289581,,,,
82,10,2013-07-11,,1307111.0,1.0,138.549392636714,,,,
83,11,2013-07-12,,1307121.0,1.0,101.447511461298,,,,
84,12,2013-07-13,,1307131.0,1.0,141.233309883732,,,,
85,13,2013-07-14,,1307141.0,1.0,112.524365708762,,,,
86,14,2013-07-15,,1307151.0,1.0,161.264677322182,,,,
87,15,2013-07-16,,1307161.0,1.0,116.821358174215,,,,
88,16,2013-07-17,,1307171.0,1.0,150.572919592838,,,,
89,17,2013-07-18,,1307181.0,1.0,101.90072129658,,,,
90,18,2013-07-19,,1307191.0,1.0,161.63511518654,,,,
91,19,2013-07-20,,1307201.0,1.0,134.328076682024,,,,
92,20,2013-07-21,,1307211.0,1.0,66.2887578161955,,,,
93,21,2013-07-22,,1307221.0,1.0,131.223948997842,,,,
94,22,2013-07-23,,1307231.0,1.0,110.315246796665,,,,
95,23,2013-07-24,,1307241.0,1.0,141.891908195545,,,,
96,24,2013-07-25,,1307251.0,1.0,167.701216640907,,,,
97,25,2013-07-26,,1307261.0,1.0,147.272084366206,,,,
98,26,2013-07-27,,1307271.0,1.0,161.403357795112,,,,
99,27,2013-07-28,,1307281.0,1.0,86.0791432446654,,,,
100,28,2013-07-29,,1307291.0,1.0,183.564164400591,,,,
101,29,2013-07-30,,1307301.0,1.0,132.111640117897,,,,
102,30,2013-07-31,,1307311.0,1.0,144.745431773143,,,,
103,31,2013-08-01,,1308011.0,1.0,157.854023011106,,,,
104,32,2013-08-02,,1308021.0,1.0,117.359342094889,,,,
105,33,2013-08-03,,1308031.0,1.0,186.027178770079,,,,
106,34,2013-08-04,,1308041.0,1.0,104.708216687715,,,,
107,35,2013-08-05,,1308051.0,1.0,146.775309890073,,,,
108,36,2013-08-06,,1308061.0,1.0,131.956277381283,,,,
109,37,2013-08-07,,1308071.0,1.0,160.593417296116,,,,
110,38,2013-08-08,,1308081.0,1.0,153.099424561652,,,,
111,39,2013-08-09,,1308091.0,1.0,125.620344387906,,,,
112,40,2013-08-10,,1308101.0,1.0,185.177162656408,,,,
113,41,2013-08-11,,1308111.0,1.0,73.2088330039992,,,,
114,42,2013-08-12,,1308121.0,1.0,154.504729536697,,,,
115,43,2013-08-13,,1308131.0,1.0,134.064451548102,,,,
116,44,2013-08-14,,1308141.0,1.0,156.972510536869,,,,
117,45,2013-08-15,,1308151.0,1.0,164.763795399756,,,,
118,46,2013-08-16,,1308161.0,1.0,147.79799759804,,,,
119,47,2013-08-17,,1308171.0,1.0,221.630418006017,,,,
120,48,2013-08-18,,1308181.0,1.0,92.489778506026,,,,
121,49,2013-08-19,,1308191.0,1.0,145.87913275728,,,,
122,50,2013-08-20,,1308201.0,1.0,111.842396126739,,,,
123,51,2013-08-21,,1308211.0,1.0,125.336522713024,,,,
124,52,2013-08-22,,1308221.0,1.0,132.916428220302,,,,
125,53,2013-08-23,,1308231.0,1.0,162.958958703106,,,,
126,54,2013-08-24,,1308241.0,1.0,201.543109556297,,,,
127,55,2013-08-25,,1308251.0,1.0,83.0226725739551,,,,
128,56,2013-08-26,,1308261.0,1.0,165.829031676714,,,,
129,57,2013-08-27,,1308271.0,1.0,118.473650434102,,,,
130,58,2013-08-28,,1308281.0,1.0,108.876991442649,,,,
131,59,2013-08-29,,1308291.0,1.0,178.178023803315,,,,
132,60,2013-08-30,,1308301.0,1.0,133.150828452892,,,,
133,61,2013-08-31,,1308311.0,1.0,130.821314898435,,,,
134,62,2013-09-01,,1309011.0,1.0,95.9704314892471,,,,
135,63,2013-09-02,,1309021.0,1.0,138.408723210465,,,,
136,64,2013-09-03,,1309031.0,1.0,138.825618927843,,,,
137,65,2013-09-04,,1309041.0,1.0,100.221969526295,,,,
138,66,2013-09-05,,1309051.0,1.0,173.658100347255,,,,
139,67,2013-09-06,,1309061.0,1.0,171.415179710314,,,,
140,68,2013-09-07,,1309071.0,1.0,186.034060963767,,,,
141,69,2013-09-08,,1309081.0,1.0,88.8925958109828,,,,
142,70,2013-09-09,,1309091.0,1.0,169.359968504942,,,,
143,71,2013-09-10,,1309101.0,1.0,89.6944536084346,,,,
144,72,2013-09-11,,1309111.0,1.0,103.363686559795,,,,
145,73,2013-09-12,,1309121.0,1.0,106.474399987548,,,,
146,74,2013-09-13,,1309131.0,1.0,122.564626199915,,,,
