,id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,weekday,dayofyear,day_of_week,month,year,weekofyear,quarter,is_weekend,is_month_start,is_month_end,is_year_start,is_year_end,days_in_month,weekofmonth,is_leap_year,Product_type,Year,Date
0,1307011,2013-07-01,1,148.828353112183,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,7,2013,27,3,0,1,0,0,0,31,1,0,Bread,2013,2013-07-01
5,1307021,2013-07-02,1,159.79375714468,3.0,17.3125,10.0,,0.0,1,183,Tuesday,7,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-02
10,1307031,2013-07-03,1,111.885593514353,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,7,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-03
15,1307041,2013-07-04,1,168.864940979931,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,7,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-04
20,1307051,2013-07-05,1,171.280754117955,5.0,19.975,12.0,,0.0,4,186,Friday,7,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-05
25,1307061,2013-07-06,1,174.552359998476,0.0,18.9625,8.0,,0.0,5,187,Saturday,7,2013,27,3,1,0,0,0,0,31,1,0,Bread,2013,2013-07-06
30,1307071,2013-07-07,1,92.6377553788373,0.0,21.375,9.0,,0.0,6,188,Sunday,7,2013,27,3,1,0,0,0,0,31,1,0,Bread,2013,2013-07-07
35,1307081,2013-07-08,1,135.500244042392,0.0,22.725,10.0,5.0,0.0,0,189,Monday,7,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-08
40,1307091,2013-07-09,1,136.048382778344,0.0,23.275,8.0,,0.0,1,190,Tuesday,7,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-09
45,1307101,2013-07-10,1,135.132314289581,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,7,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-10
