,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,weekday,dayofyear,day_of_week
394,2013-07-01,6.0,17.8375,15,20.0,1307011.0,1.0,148.828353112183,,0,182,Monday
399,2013-07-02,3.0,17.3125,10,,1307021.0,1.0,159.79375714468,,1,183,Tuesday
404,2013-07-03,7.0,21.075,6,61.0,1307031.0,1.0,111.885593514353,,2,184,Wednesday
409,2013-07-04,7.0,18.85,7,20.0,1307041.0,1.0,168.864940979931,,3,185,Thursday
414,2013-07-05,5.0,19.975,12,,1307051.0,1.0,171.280754117955,,4,186,Friday
419,2013-07-06,0.0,18.9625,8,,1307061.0,1.0,174.552359998476,,5,187,Saturday
424,2013-07-07,0.0,21.375,9,,1307071.0,1.0,92.6377553788373,,6,188,Sunday
429,2013-07-08,0.0,22.725,10,5.0,1307081.0,1.0,135.500244042392,,0,189,Monday
434,2013-07-09,0.0,23.275,8,,1307091.0,1.0,136.048382778344,,1,190,Tuesday
439,2013-07-10,2.0,19.6875,13,5.0,1307101.0,1.0,135.132314289581,,2,191,Wednesday
444,2013-07-11,0.0,21.375,12,5.0,1307111.0,1.0,138.549392636714,,3,192,Thursday
449,2013-07-12,0.0,20.2875,7,,1307121.0,1.0,101.447511461298,,4,193,Friday
453,2013-07-13,1.0,20.125,12,,1307131.0,1.0,141.233309883732,,5,194,Saturday
458,2013-07-14,5.0,17.6875,15,5.0,1307141.0,1.0,112.524365708762,,6,195,Sunday
463,2013-07-15,6.0,18.7375,12,,1307151.0,1.0,161.264677322182,,0,196,Monday
468,2013-07-16,1.0,21.1875,10,,1307161.0,1.0,116.821358174215,,1,197,Tuesday
473,2013-07-17,5.0,22.5125,8,,1307171.0,1.0,150.572919592838,,2,198,Wednesday
477,2013-07-18,1.0,23.25,11,5.0,1307181.0,1.0,101.90072129658,,3,199,Thursday
482,2013-07-19,3.0,22.475,16,5.0,1307191.0,1.0,161.63511518654,,4,200,Friday
487,2013-07-20,0.0,23.1875,8,,1307201.0,1.0,134.328076682024,,5,201,Saturday
