Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Woche,Monat,Jahr,Wochentag,Kalenderwoche,Quartal,Halbjahr,Jahreszeit,Product_type,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,KielerWoche_0,KielerWoche_1
2013-07-01,148.828353112183,6.0,17.8375,15.0,20.0,27,7,2013,1,2013-26,3,2,Sommer,Bread,True,False,False,False,False,False,True,False
2013-07-01,535.856284785361,6.0,17.8375,15.0,20.0,27,7,2013,1,2013-26,3,2,Sommer,Roles,False,True,False,False,False,False,True,False
2013-07-01,201.198425690037,6.0,17.8375,15.0,20.0,27,7,2013,1,2013-26,3,2,Sommer,Croissant,False,False,True,False,False,False,True,False
2013-07-01,65.890168799361,6.0,17.8375,15.0,20.0,27,7,2013,1,2013-26,3,2,Sommer,Pastry,False,False,False,True,False,False,True,False
2013-07-01,317.475874933038,6.0,17.8375,15.0,20.0,27,7,2013,1,2013-26,3,2,Sommer,Cake,False,False,False,False,True,False,True,False
2013-07-02,159.79375714468,3.0,17.3125,10.0,,27,7,2013,2,2013-26,3,2,Sommer,Bread,True,False,False,False,False,False,True,False
2013-07-02,546.780787392297,3.0,17.3125,10.0,,27,7,2013,2,2013-26,3,2,Sommer,Roles,False,True,False,False,False,False,True,False
2013-07-02,265.261253994438,3.0,17.3125,10.0,,27,7,2013,2,2013-26,3,2,Sommer,Croissant,False,False,True,False,False,False,True,False
2013-07-02,74.5439171827412,3.0,17.3125,10.0,,27,7,2013,2,2013-26,3,2,Sommer,Pastry,False,False,False,True,False,False,True,False
2013-07-02,383.628681612577,3.0,17.3125,10.0,,27,7,2013,2,2013-26,3,2,Sommer,Cake,False,False,False,False,True,False,True,False
2013-07-03,305.523072325318,7.0,21.075,6.0,61.0,27,7,2013,3,2013-26,3,2,Sommer,Cake,False,False,False,False,True,False,True,False
2013-07-03,69.2627280649987,7.0,21.075,6.0,61.0,27,7,2013,3,2013-26,3,2,Sommer,Pastry,False,False,False,True,False,False,True,False
