,id,Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,weekday,dayofyear,day_of_week,year,weekofyear,quarter,is_weekend,is_month_start,is_month_end,is_year_start,is_year_end,days_in_month,weekofmonth,is_leap_year,Product_type,Year,Date,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,day_of_week_enc_1,day_of_week_enc_2,day_of_week_enc_3,day_of_week_enc_4,day_of_week_enc_5,day_of_week_enc_6,day_of_week_enc_7,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Produktgruppe_enc
0,1307011,2013-07-01,148.828353112183,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,2013,27,3,0,1,0,0,0,31,1,0,Bread,2013,2013-07-01,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
2,1307013,2013-07-01,201.198425690037,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,2013,27,3,0,1,0,0,0,31,1,0,Croissant,2013,2013-07-01,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
4,1307015,2013-07-01,317.475874933038,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,2013,27,3,0,1,0,0,0,31,1,0,Cake,2013,2013-07-01,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
1,1307012,2013-07-01,535.856284785361,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,2013,27,3,0,1,0,0,0,31,1,0,Roles,2013,2013-07-01,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
3,1307014,2013-07-01,65.890168799361,6.0,17.8375,15.0,20.0,0.0,0,182,Monday,2013,27,3,0,1,0,0,0,31,1,0,Pastry,2013,2013-07-01,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
11,1307032,2013-07-03,427.343258749983,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,2013,27,3,0,0,0,0,0,31,1,0,Roles,2013,2013-07-03,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
12,1307033,2013-07-03,210.260241465493,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,2013,27,3,0,0,0,0,0,31,1,0,Croissant,2013,2013-07-03,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
10,1307031,2013-07-03,111.885593514353,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-03,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
14,1307035,2013-07-03,305.523072325318,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,2013,27,3,0,0,0,0,0,31,1,0,Cake,2013,2013-07-03,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
13,1307034,2013-07-03,69.2627280649987,7.0,21.075,6.0,61.0,0.0,2,184,Wednesday,2013,27,3,0,0,0,0,0,31,1,0,Pastry,2013,2013-07-03,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
17,1307043,2013-07-04,190.686641378586,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,2013,27,3,0,0,0,0,0,31,1,0,Croissant,2013,2013-07-04,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
19,1307045,2013-07-04,308.408167942149,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,2013,27,3,0,0,0,0,0,31,1,0,Cake,2013,2013-07-04,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
15,1307041,2013-07-04,168.864940979931,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,2013,27,3,0,0,0,0,0,31,1,0,Bread,2013,2013-07-04,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
18,1307044,2013-07-04,61.490175369225,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,2013,27,3,0,0,0,0,0,31,1,0,Pastry,2013,2013-07-04,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
16,1307042,2013-07-04,454.859641347987,7.0,18.85,7.0,20.0,0.0,3,185,Thursday,2013,27,3,0,0,0,0,0,31,1,0,Roles,2013,2013-07-04,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
36,1307082,2013-07-08,538.529249911711,0.0,22.725,10.0,5.0,0.0,0,189,Monday,2013,28,3,0,0,0,0,0,31,2,0,Roles,2013,2013-07-08,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
39,1307085,2013-07-08,285.233382496522,0.0,22.725,10.0,5.0,0.0,0,189,Monday,2013,28,3,0,0,0,0,0,31,2,0,Cake,2013,2013-07-08,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
38,1307084,2013-07-08,49.5000238633042,0.0,22.725,10.0,5.0,0.0,0,189,Monday,2013,28,3,0,0,0,0,0,31,2,0,Pastry,2013,2013-07-08,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
35,1307081,2013-07-08,135.500244042392,0.0,22.725,10.0,5.0,0.0,0,189,Monday,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-08,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
37,1307083,2013-07-08,195.158794309303,0.0,22.725,10.0,5.0,0.0,0,189,Monday,2013,28,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-07-08,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
46,1307102,2013-07-10,567.365764527953,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,2013,28,3,0,0,0,0,0,31,2,0,Roles,2013,2013-07-10,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
48,1307104,2013-07-10,73.8056511129258,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,2013,28,3,0,0,0,0,0,31,2,0,Pastry,2013,2013-07-10,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
45,1307101,2013-07-10,135.132314289581,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
47,1307103,2013-07-10,265.109142544045,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,2013,28,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-07-10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
49,1307105,2013-07-10,343.353066508123,2.0,19.6875,13.0,5.0,0.0,2,191,Wednesday,2013,28,3,0,0,0,0,0,31,2,0,Cake,2013,2013-07-10,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
50,1307111,2013-07-11,138.549392636714,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,2013,28,3,0,0,0,0,0,31,2,0,Bread,2013,2013-07-11,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
52,1307113,2013-07-11,234.65807920749,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,2013,28,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-07-11,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
51,1307112,2013-07-11,569.109374584873,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,2013,28,3,0,0,0,0,0,31,2,0,Roles,2013,2013-07-11,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
54,1307115,2013-07-11,315.911756962233,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,2013,28,3,0,0,0,0,0,31,2,0,Cake,2013,2013-07-11,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
53,1307114,2013-07-11,68.6330279122302,0.0,21.375,12.0,5.0,0.0,3,192,Thursday,2013,28,3,0,0,0,0,0,31,2,0,Pastry,2013,2013-07-11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
65,1307142,2013-07-14,777.048841669282,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,2013,28,3,1,0,0,0,0,31,2,0,Roles,2013,2013-07-14,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2
68,1307145,2013-07-14,461.082124524619,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,2013,28,3,1,0,0,0,0,31,2,0,Cake,2013,2013-07-14,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,5
66,1307143,2013-07-14,320.626816189556,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,2013,28,3,1,0,0,0,0,31,2,0,Croissant,2013,2013-07-14,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
67,1307144,2013-07-14,115.271617188867,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,2013,28,3,1,0,0,0,0,31,2,0,Pastry,2013,2013-07-14,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4
64,1307141,2013-07-14,112.524365708762,5.0,17.6875,15.0,5.0,0.0,6,195,Sunday,2013,28,3,1,0,0,0,0,31,2,0,Bread,2013,2013-07-14,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
84,1307182,2013-07-18,647.822253705942,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,2013,29,3,0,0,0,0,0,31,3,0,Roles,2013,2013-07-18,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
85,1307183,2013-07-18,250.426586853024,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,2013,29,3,0,0,0,0,0,31,3,0,Croissant,2013,2013-07-18,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
86,1307184,2013-07-18,89.2058404577425,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,2013,29,3,0,0,0,0,0,31,3,0,Pastry,2013,2013-07-18,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
87,1307185,2013-07-18,300.398790118057,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,2013,29,3,0,0,0,0,0,31,3,0,Cake,2013,2013-07-18,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
83,1307181,2013-07-18,101.90072129658,1.0,23.25,11.0,5.0,0.0,3,199,Thursday,2013,29,3,0,0,0,0,0,31,3,0,Bread,2013,2013-07-18,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
89,1307192,2013-07-19,646.788959790823,3.0,22.475,16.0,5.0,0.0,4,200,Friday,2013,29,3,0,0,0,0,0,31,3,0,Roles,2013,2013-07-19,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
90,1307193,2013-07-19,287.18828629416,3.0,22.475,16.0,5.0,0.0,4,200,Friday,2013,29,3,0,0,0,0,0,31,3,0,Croissant,2013,2013-07-19,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
92,1307195,2013-07-19,369.400389277533,3.0,22.475,16.0,5.0,0.0,4,200,Friday,2013,29,3,0,0,0,0,0,31,3,0,Cake,2013,2013-07-19,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
88,1307191,2013-07-19,161.63511518654,3.0,22.475,16.0,5.0,0.0,4,200,Friday,2013,29,3,0,0,0,0,0,31,3,0,Bread,2013,2013-07-19,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
91,1307194,2013-07-19,62.0636098816993,3.0,22.475,16.0,5.0,0.0,4,200,Friday,2013,29,3,0,0,0,0,0,31,3,0,Pastry,2013,2013-07-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
132,1307281,2013-07-28,86.0791432446654,4.0,24.8875,13.0,61.0,0.0,6,209,Sunday,2013,30,3,1,0,0,0,0,31,4,0,Bread,2013,2013-07-28,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
134,1307283,2013-07-28,360.096105223697,4.0,24.8875,13.0,61.0,0.0,6,209,Sunday,2013,30,3,1,0,0,0,0,31,4,0,Croissant,2013,2013-07-28,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3
135,1307285,2013-07-28,437.824795495097,4.0,24.8875,13.0,61.0,0.0,6,209,Sunday,2013,30,3,1,0,0,0,0,31,4,0,Cake,2013,2013-07-28,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,5
133,1307282,2013-07-28,871.802546455837,4.0,24.8875,13.0,61.0,0.0,6,209,Sunday,2013,30,3,1,0,0,0,0,31,4,0,Roles,2013,2013-07-28,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2
140,1307301,2013-07-30,132.111640117897,5.0,21.075,13.0,21.0,0.0,1,211,Tuesday,2013,31,3,0,0,0,0,0,31,5,0,Bread,2013,2013-07-30,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
141,1307302,2013-07-30,690.117757120039,5.0,21.075,13.0,21.0,0.0,1,211,Tuesday,2013,31,3,0,0,0,0,0,31,5,0,Roles,2013,2013-07-30,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
142,1307303,2013-07-30,354.531775116541,5.0,21.075,13.0,21.0,0.0,1,211,Tuesday,2013,31,3,0,0,0,0,0,31,5,0,Croissant,2013,2013-07-30,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
143,1307305,2013-07-30,424.086156965952,5.0,21.075,13.0,21.0,0.0,1,211,Tuesday,2013,31,3,0,0,0,0,0,31,5,0,Cake,2013,2013-07-30,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
145,1307312,2013-07-31,667.842224335937,5.0,20.275,16.0,65.0,0.0,2,212,Wednesday,2013,31,3,0,0,1,0,0,31,5,0,Roles,2013,2013-07-31,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
144,1307311,2013-07-31,144.745431773143,5.0,20.275,16.0,65.0,0.0,2,212,Wednesday,2013,31,3,0,0,1,0,0,31,5,0,Bread,2013,2013-07-31,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
147,1307315,2013-07-31,426.985804024935,5.0,20.275,16.0,65.0,0.0,2,212,Wednesday,2013,31,3,0,0,1,0,0,31,5,0,Cake,2013,2013-07-31,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5
146,1307313,2013-07-31,321.075920611583,5.0,20.275,16.0,65.0,0.0,2,212,Wednesday,2013,31,3,0,0,1,0,0,31,5,0,Croissant,2013,2013-07-31,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
148,1308011,2013-08-01,157.854023011106,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,2013,31,3,0,1,0,0,0,31,1,0,Bread,2013,2013-08-01,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
149,1308012,2013-08-01,667.213719343287,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,2013,31,3,0,1,0,0,0,31,1,0,Roles,2013,2013-08-01,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
150,1308013,2013-08-01,304.830310037868,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,2013,31,3,0,1,0,0,0,31,1,0,Croissant,2013,2013-08-01,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
152,1308015,2013-08-01,322.294307178179,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,2013,31,3,0,1,0,0,0,31,1,0,Cake,2013,2013-08-01,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5
151,1308014,2013-08-01,60.5614573229725,6.0,23.4,7.0,21.0,0.0,3,213,Thursday,2013,31,3,0,1,0,0,0,31,1,0,Pastry,2013,2013-08-01,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
161,1308034,2013-08-03,51.2749992906831,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,2013,31,3,1,0,0,0,0,31,1,0,Pastry,2013,2013-08-03,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4
162,1308035,2013-08-03,399.283316370115,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,2013,31,3,1,0,0,0,0,31,1,0,Cake,2013,2013-08-03,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,5
158,1308031,2013-08-03,186.027178770079,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,2013,31,3,1,0,0,0,0,31,1,0,Bread,2013,2013-08-03,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
160,1308033,2013-08-03,454.705780795563,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,2013,31,3,1,0,0,0,0,31,1,0,Croissant,2013,2013-08-03,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
159,1308032,2013-08-03,930.801703150498,4.0,23.3625,11.0,63.0,0.0,5,215,Saturday,2013,31,3,1,0,0,0,0,31,1,0,Roles,2013,2013-08-03,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2
182,1308081,2013-08-08,153.099424561652,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,2013,32,3,0,0,0,0,0,31,2,0,Bread,2013,2013-08-08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
183,1308082,2013-08-08,486.25509543792,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,2013,32,3,0,0,0,0,0,31,2,0,Roles,2013,2013-08-08,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
186,1308085,2013-08-08,464.87537153539,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,2013,32,3,0,0,0,0,0,31,2,0,Cake,2013,2013-08-08,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5
185,1308084,2013-08-08,96.7720958104522,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,2013,32,3,0,0,0,0,0,31,2,0,Pastry,2013,2013-08-08,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
184,1308083,2013-08-08,298.005519792868,7.0,16.975,12.0,20.0,0.0,3,220,Thursday,2013,32,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-08-08,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
187,1308091,2013-08-09,125.620344387906,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,2013,32,3,0,0,0,0,0,31,2,0,Bread,2013,2013-08-09,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
189,1308093,2013-08-09,328.22992428157,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,2013,32,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-08-09,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
190,1308094,2013-08-09,81.4817797241125,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,2013,32,3,0,0,0,0,0,31,2,0,Pastry,2013,2013-08-09,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
191,1308095,2013-08-09,450.085987485785,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,2013,32,3,0,0,0,0,0,31,2,0,Cake,2013,2013-08-09,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5
188,1308092,2013-08-09,539.975155104136,4.0,20.3375,10.0,21.0,0.0,4,221,Friday,2013,32,3,0,0,0,0,0,31,2,0,Roles,2013,2013-08-09,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
195,1308104,2013-08-10,59.9811123644503,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,2013,32,3,1,0,0,0,0,31,2,0,Pastry,2013,2013-08-10,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4
194,1308103,2013-08-10,351.617029216224,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,2013,32,3,1,0,0,0,0,31,2,0,Croissant,2013,2013-08-10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
193,1308102,2013-08-10,614.511830668785,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,2013,32,3,1,0,0,0,0,31,2,0,Roles,2013,2013-08-10,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2
196,1308105,2013-08-10,450.993337129113,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,2013,32,3,1,0,0,0,0,31,2,0,Cake,2013,2013-08-10,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,5
192,1308101,2013-08-10,185.177162656408,7.0,19.3625,12.0,61.0,0.0,5,222,Saturday,2013,32,3,1,0,0,0,0,31,2,0,Bread,2013,2013-08-10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1
201,1308115,2013-08-11,583.491717818235,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,2013,32,3,1,0,0,0,0,31,2,0,Cake,2013,2013-08-11,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,5
200,1308114,2013-08-11,60.7087857619079,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,2013,32,3,1,0,0,0,0,31,2,0,Pastry,2013,2013-08-11,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4
199,1308113,2013-08-11,341.033029953849,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,2013,32,3,1,0,0,0,0,31,2,0,Croissant,2013,2013-08-11,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,3
198,1308112,2013-08-11,666.9113081568,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,2013,32,3,1,0,0,0,0,31,2,0,Roles,2013,2013-08-11,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2
197,1308111,2013-08-11,73.2088330039992,7.0,16.3875,9.0,61.0,0.0,6,223,Sunday,2013,32,3,1,0,0,0,0,31,2,0,Bread,2013,2013-08-11,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
202,1308121,2013-08-12,154.504729536697,7.0,16.45,11.0,63.0,0.0,0,224,Monday,2013,33,3,0,0,0,0,0,31,2,0,Bread,2013,2013-08-12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
204,1308123,2013-08-12,253.6233554703,7.0,16.45,11.0,63.0,0.0,0,224,Monday,2013,33,3,0,0,0,0,0,31,2,0,Croissant,2013,2013-08-12,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
203,1308122,2013-08-12,510.019126480035,7.0,16.45,11.0,63.0,0.0,0,224,Monday,2013,33,3,0,0,0,0,0,31,2,0,Roles,2013,2013-08-12,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
