Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Produktgruppe,Wochentag,Monat,Jahr,Umsatz_lag_1,Umsatz_lag_7,Umsatz_lag_14,Umsatz_rolling_mean_3,Umsatz_rolling_std_3,Umsatz_rolling_mean_7,Umsatz_rolling_std_7,Ist_Wochenende,Jahreszeit,Regenstaerke,Ist_Feiertag_SH,Ist_Feiertag_Bundesweit,Ist_Schulferien_SH,Veranstaltung_Holstenkoeste,Veranstaltung_Kieler_Umschlag,Veranstaltung_Kieler_Weihnachtsmaerkte,Veranstaltung_Kieler_Woche,Veranstaltung_NOK_Romantika,Veranstaltung_NordArt,Veranstaltung_Seebrueckenfest,Veranstaltung_Sprottentage
2013-07-01,148.82835,6.0,17.8375,15.0,20.0,,Brot,Montag,7,2013,,,,0.0,0.0,0.0,0.0,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-01,535.85626,6.0,17.8375,15.0,20.0,,Brötchen,Montag,7,2013,148.82835,,,0.0,0.0,0.0,0.0,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-01,201.19843,6.0,17.8375,15.0,20.0,,Croissant,Montag,7,2013,535.85626,,,295.29434,209.97186,0.0,0.0,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-01,65.89017,6.0,17.8375,15.0,20.0,,Konditorei,Montag,7,2013,201.19843,,,267.6483,241.9271,0.0,0.0,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-01,317.47586,6.0,17.8375,15.0,20.0,,Kuchen,Montag,7,2013,65.89017,,,194.85481,125.91275,0.0,0.0,False,Sommer,Kein Regen,True,True,True,False,False,False,False,False,False,False,False
2013-07-02,159.79376,3.0,17.3125,10.0,,,Brot,Dienstag,7,2013,317.47586,,,181.05327,127.133064,0.0,0.0,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-02,546.78076,3.0,17.3125,10.0,,,Brötchen,Dienstag,7,2013,159.79376,,,341.35013,194.59502,282.2605,192.22873,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-02,265.26126,3.0,17.3125,10.0,,,Croissant,Dienstag,7,2013,546.78076,148.82835,,323.94525,200.05647,298.8938,183.6026,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-02,74.543915,3.0,17.3125,10.0,,,Konditorei,Dienstag,7,2013,265.26126,535.85626,,295.52866,237.56892,232.99202,166.35297,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
2013-07-02,383.6287,3.0,17.3125,10.0,,,Kuchen,Dienstag,7,2013,74.543915,201.19843,,241.14462,155.9473,259.0535,174.62628,False,Sommer,,True,True,True,False,False,False,False,False,False,False,False
